ID_match,ID,Seg_ID,Seg_ID_match
45,76,4441075X000_2_110_1,296000_2_110_1
45,77,4441093X000_2_110_1,296000_2_110_1
45,78,4441095X000_2_110_1,296000_2_110_1
45,79,4441121C000_2_110_1,296000_2_110_1
45,80,4441121I000_2_110_1,296000_2_110_1
46,45,296000_2_110_1,296011_2_110_1
46,77,4441093X000_2_110_1,296011_2_110_1
46,78,4441095X000_2_110_1,296011_2_110_1
46,80,4441121I000_2_110_1,296011_2_110_1
47,34,2021020X000_2_100_1,298000_2_100_1
47,48,298006_2_100_1,298000_2_100_1
47,49,298150_2_100_1,298000_2_100_1
48,34,2021020X000_2_100_1,298006_2_100_1
48,47,298000_2_100_1,298006_2_100_1
48,49,298150_2_100_1,298006_2_100_1
49,33,2021005X000_2_100_1,298150_2_100_1
49,34,2021020X000_2_100_1,298150_2_100_1
49,47,298000_2_100_1,298150_2_100_1
49,48,298006_2_100_1,298150_2_100_1
50,51,299535_2_231_1,299500_2_231_1
51,35,2041002X000_2_230_1,299535_2_231_1
51,36,2041007X000_2_230_1,299535_2_231_1
51,37,2041010X000_2_230_1,299535_2_231_1
51,50,299500_2_231_1,299535_2_231_1
52,53,4041051X000_2_130_1,4041003X000_2_130_1
52,55,4041061X000_2_130_1,4041003X000_2_130_1
52,56,4041063X000_2_130_1,4041003X000_2_130_1
52,57,4041071X000_2_130_1,4041003X000_2_130_1
53,42,291400_2_130_1,4041051X000_2_130_1
53,52,4041003X000_2_130_1,4041051X000_2_130_1
53,55,4041061X000_2_130_1,4041051X000_2_130_1
53,57,4041071X000_2_130_1,4041051X000_2_130_1
54,42,291400_2_130_1,4041057X000_2_130_1
54,175,S7_2_130_1,4041057X000_2_130_1
55,42,291400_2_130_1,4041061X000_2_130_1
55,52,4041003X000_2_130_1,4041061X000_2_130_1
55,53,4041051X000_2_130_1,4041061X000_2_130_1
55,57,4041071X000_2_130_1,4041061X000_2_130_1
56,52,4041003X000_2_130_1,4041063X000_2_130_1
56,57,4041071X000_2_130_1,4041063X000_2_130_1
57,42,291400_2_130_1,4041071X000_2_130_1
57,52,4041003X000_2_130_1,4041071X000_2_130_1
57,53,4041051X000_2_130_1,4041071X000_2_130_1
57,55,4041061X000_2_130_1,4041071X000_2_130_1
57,56,4041063X000_2_130_1,4041071X000_2_130_1
58,59,4261005X000_2_275_1,4261004X000_2_275_1
58,60,4261011X000_2_275_1,4261004X000_2_275_1
58,61,4261012X000_2_275_1,4261004X000_2_275_1
58,62,4261015X000_2_275_1,4261004X000_2_275_1
59,58,4261004X000_2_275_1,4261005X000_2_275_1
59,60,4261011X000_2_275_1,4261005X000_2_275_1
59,62,4261015X000_2_275_1,4261005X000_2_275_1
60,58,4261004X000_2_275_1,4261011X000_2_275_1
60,59,4261005X000_2_275_1,4261011X000_2_275_1
60,62,4261015X000_2_275_1,4261011X000_2_275_1
61,58,4261004X000_2_275_1,4261012X000_2_275_1
61,62,4261015X000_2_275_1,4261012X000_2_275_1
62,58,4261004X000_2_275_1,4261015X000_2_275_1
62,59,4261005X000_2_275_1,4261015X000_2_275_1
62,60,4261011X000_2_275_1,4261015X000_2_275_1
62,61,4261012X000_2_275_1,4261015X000_2_275_1
63,43,294000_2_280_1,4281001X000_2_195_1
64,44,294020_2_280_1,4281007X000_2_195_1
65,70,4321038X000_2_220_1,4321016X000_2_220_1
66,67,4321033X000_2_220_1,4321029X000_2_220_1
66,68,4321035X000_2_220_1,4321029X000_2_220_1
66,70,4321038X000_2_220_1,4321029X000_2_220_1
67,66,4321029X000_2_220_1,4321033X000_2_220_1
67,68,4321035X000_2_220_1,4321033X000_2_220_1
67,70,4321038X000_2_220_1,4321033X000_2_220_1
68,66,4321029X000_2_220_1,4321035X000_2_220_1
68,67,4321033X000_2_220_1,4321035X000_2_220_1
68,69,4321036X000_2_220_1,4321035X000_2_220_1
68,70,4321038X000_2_220_1,4321035X000_2_220_1
69,68,4321035X000_2_220_1,4321036X000_2_220_1
70,65,4321016X000_2_220_1,4321038X000_2_220_1
70,66,4321029X000_2_220_1,4321038X000_2_220_1
70,67,4321033X000_2_220_1,4321038X000_2_220_1
70,68,4321035X000_2_220_1,4321038X000_2_220_1
71,45,296000_2_110_1,4441014X000_2_110_1
71,72,4441023X000_2_110_1,4441014X000_2_110_1
72,45,296000_2_110_1,4441023X000_2_110_1
72,71,4441014X000_2_110_1,4441023X000_2_110_1
73,45,296000_2_110_1,4441029X000_2_110_1
73,74,4441030X000_2_110_1,4441029X000_2_110_1
73,76,4441075X000_2_110_1,4441029X000_2_110_1
74,45,296000_2_110_1,4441030X000_2_110_1
74,73,4441029X000_2_110_1,4441030X000_2_110_1
74,76,4441075X000_2_110_1,4441030X000_2_110_1
75,45,296000_2_110_1,4441057X000_2_110_1
76,45,296000_2_110_1,4441075X000_2_110_1
76,73,4441029X000_2_110_1,4441075X000_2_110_1
76,74,4441030X000_2_110_1,4441075X000_2_110_1
77,45,296000_2_110_1,4441093X000_2_110_1
77,46,296011_2_110_1,4441093X000_2_110_1
77,78,4441095X000_2_110_1,4441093X000_2_110_1
77,80,4441121I000_2_110_1,4441093X000_2_110_1
78,45,296000_2_110_1,4441095X000_2_110_1
78,46,296011_2_110_1,4441095X000_2_110_1
78,77,4441093X000_2_110_1,4441095X000_2_110_1
78,80,4441121I000_2_110_1,4441095X000_2_110_1
79,45,296000_2_110_1,4441121C000_2_110_1
79,80,4441121I000_2_110_1,4441121C000_2_110_1
80,45,296000_2_110_1,4441121I000_2_110_1
80,46,296011_2_110_1,4441121I000_2_110_1
80,77,4441093X000_2_110_1,4441121I000_2_110_1
