"","Seg_ID","SIGN1","STFIPS","NEVI","Has_EV","No_Tesla","Traffic","Short_Road","LENGTH","ID","AFC"
"105","005-0-2013-2567_8_5_1","005-0-2013-2567",8,0,1,1,26142.8571428571,TRUE,3.46604796809031,105,FALSE
"106","005-0-2013-2796_8_5_1","005-0-2013-2796",8,0,1,1,23000,TRUE,1.68838834777494,106,FALSE
"107","005-0-2013-2797_8_5_1","005-0-2013-2797",8,0,0,0,33000,TRUE,0.303246236321122,107,FALSE
"108","005-0-2013-2882_8_1_1","005-0-2013-2882",8,0,1,1,21250,TRUE,1.32966271907117,108,FALSE
"109","005-0-2013-3237_8_5_1","005-0-2013-3237",8,1,1,1,21000,TRUE,0.0707056029249799,109,FALSE
"110","005-0-2013-3241_8_5_1","005-0-2013-3241",8,0,0,0,21000,TRUE,0.385105256371721,110,FALSE
"111","005-0-2013-3329_8_5_1","005-0-2013-3329",8,0,1,1,37000,TRUE,0.156468237778035,111,FALSE
"112","005-0-2013-3354_8_5_1","005-0-2013-3354",8,0,1,1,31000,TRUE,1.54474601421021,112,FALSE
"113","005-0-2013-4042_8_5_1","005-0-2013-4042",8,0,1,1,22000,TRUE,1.11943771503008,113,FALSE
"114","005-0-2013-4443_8_5_1","005-0-2013-4443",8,0,1,1,32800,TRUE,4.7380899816194,114,FALSE
"115","005-0-2013-4546_8_5_1","005-0-2013-4546",8,0,1,1,46000,TRUE,0.216775723843727,115,FALSE
"116","005-0-2013-4547_8_5_1","005-0-2013-4547",8,0,1,1,46000,TRUE,0.00675475357708568,116,FALSE
"117","005-0-2013-4548_8_5_1","005-0-2013-4548",8,0,1,1,46000,TRUE,0.022771032029974,117,FALSE
"118","005-0-2013-4549_8_5_1","005-0-2013-4549",8,0,1,1,46000,TRUE,0.0492338609544005,118,FALSE
"119","005-0-2013-4550_8_5_1","005-0-2013-4550",8,0,1,1,46000,TRUE,0.0335638294799362,119,FALSE
"120","005-0-2013-4551_8_5_1","005-0-2013-4551",8,0,1,1,46000,TRUE,0.0610694481429816,120,FALSE
"121","005-0-2013-4552_8_5_1","005-0-2013-4552",8,1,1,1,46000,TRUE,0.0818949809919747,121,FALSE
"122","005-0-2013-4557_8_5_1","005-0-2013-4557",8,0,0,0,21500,TRUE,1.15659840257978,122,FALSE
"123","005-0-2013-4798_8_5_1","005-0-2013-4798",8,1,1,1,15360,TRUE,5.57906147956448,123,FALSE
"124","005-0-2013-6089_8_5_1","005-0-2013-6089",8,1,1,1,19000,TRUE,2.52775120874493,124,FALSE
"125","005-0-2013-6159_8_5_1","005-0-2013-6159",8,0,0,0,23000,TRUE,0.191138428344497,125,FALSE
"126","005-0-2013-6160_8_5_1","005-0-2013-6160",8,0,1,1,35666.6666666667,TRUE,3.01273261815524,126,FALSE
"127","005-0-2013-6631_8_5_1","005-0-2013-6631",8,1,1,1,33600,TRUE,3.54854250757682,127,FALSE
"128","005-0-2013-6675_8_5_1","005-0-2013-6675",8,0,0,0,30000,TRUE,0.185398730409376,128,FALSE
"129","005-0-2013-6941_8_5_1","005-0-2013-6941",8,0,1,1,48500,TRUE,0.593169911479664,129,FALSE
"130","005-0-2013-7225_8_5_1","005-0-2013-7225",8,0,1,1,20666.6666666667,TRUE,1.50573426881718,130,FALSE
"131","005-0-2013-7305_8_5_1","005-0-2013-7305",8,0,1,1,28000,TRUE,0.0420387627247607,131,FALSE
"132","005-0-2013-7342_8_5_1","005-0-2013-7342",8,0,1,1,34666.6666666667,TRUE,1.78791217167129,132,FALSE
"133","005-0-2013-7353_8_5_1","005-0-2013-7353",8,0,1,1,43000,TRUE,1.28717199832577,133,FALSE
"134","005-0-2013-7354_8_5_1","005-0-2013-7354",8,0,1,1,46000,TRUE,0.207399298891491,134,FALSE
"135","005-0-2013-7355_8_5_1","005-0-2013-7355",8,0,1,1,46000,TRUE,0.00584953691249569,135,FALSE
"136","005-0-2013-7356_8_5_1","005-0-2013-7356",8,0,1,1,46000,TRUE,0.0710284302716129,136,FALSE
"137","005-0-2013-7357_8_5_1","005-0-2013-7357",8,0,1,1,46000,TRUE,0.0782691354635742,137,FALSE
"138","005-0-2013-7358_8_5_1","005-0-2013-7358",8,0,1,1,46000,TRUE,0.037128858751353,138,FALSE
"139","005-0-2013-7359_8_5_1","005-0-2013-7359",8,0,1,1,46000,TRUE,0.0670002769197785,139,FALSE
"140","005-0-2013-7360_8_5_1","005-0-2013-7360",8,1,1,1,42000,TRUE,1.29657989716014,140,FALSE
"141","005-05-1-010_22_109_1","005-05-1-010",22,0,0,0,14650,TRUE,0.165912558530768,141,FALSE
"142","005-LN-9008  -000_21_9_1","005-LN-9008  -000",21,0,0,0,9741,FALSE,22.2300477855163,142,TRUE
"143","005P117188R_53_33_1","005P117188R",53,0,1,1,0,TRUE,0.0972908725003996,143,TRUE
"144","005P500039i_53_11_1","005P500039i",53,0,1,1,5217,TRUE,0.534285254797403,144,TRUE
"145","005Q111465_53_67_1","005Q111465",53,0,0,0,0,TRUE,0.558133596209746,145,TRUE
"146","006-03-2-010_22_71_1","006-03-2-010",22,0,0,0,3000,TRUE,0.340122257198212,146,TRUE
"147","006-25-1-010_22_51_1","006-25-1-010",22,0,0,0,60300,TRUE,0.41383357218343,147,FALSE
"148","0078P_49_23_1","0078P",49,0,0,0,741.25,TRUE,2.95477768577183,148,FALSE
"149","00856AOH000_16_19_1","00856AOH000",16,0,1,1,1700,TRUE,0.785357115432709,149,FALSE
"150","0093P_49_11_1","0093P",49,0,1,1,30549,TRUE,0.372504629291631,150,TRUE
"151","009BJI00_41_11_1","009BJI00",41,0,1,1,610,TRUE,0.0596283929773966,151,TRUE
"152","010  20725 101000_17_19_1","010  20725 101000",17,0,1,1,10863,TRUE,0.628840943645122,152,FALSE
"153","010  20807 000000_17_19_1","010  20807 000000",17,0,1,1,7216.83333333333,TRUE,3.40243976577583,153,FALSE
"154","010  20811 000000_17_19_1","010  20811 000000",17,0,1,1,19937.5,TRUE,1.44829020275311,154,FALSE
"155","010  20813 000000_17_19_1","010  20813 000000",17,0,0,0,13025,TRUE,1.10557103175222,155,FALSE
"156","010  80001 000000_17_19_1","010  80001 000000",17,0,1,1,2700,TRUE,0.114411999614926,156,FALSE
"157","010  97118 000000_17_19_1","010  97118 000000",17,0,1,1,19041.1428571429,TRUE,0.765555743511493,157,FALSE
"158","010  97168 000000_17_19_1","010  97168 000000",17,0,1,1,7404,TRUE,0.13955473741102,158,FALSE
"159","010  97177 000000_17_19_1","010  97177 000000",17,0,1,1,9339.86666666667,TRUE,3.31342401640393,159,FALSE
"160","010  97197 000000_17_19_1","010  97197 000000",17,0,1,1,31885,TRUE,0.0636312138269239,160,TRUE
"161","010-CS-2551  -000_21_19_1","010-CS-2551  -000",21,0,1,1,1304,TRUE,0.0659758154393946,161,FALSE
"162","010-US-0023S -000_21_19_1","010-US-0023S -000",21,0,0,0,11821,TRUE,0.397172093145902,162,FALSE
"163","010-US-0023S -001_21_19_1","010-US-0023S -001",21,0,0,0,15954,TRUE,0.47077490711879,163,FALSE
"164","01000629___34_1_1","01000629__",34,0,0,0,7679.375,TRUE,5.67642710529995,164,FALSE
"165","01000694___34_1_1","01000694__",34,0,1,0,17845,TRUE,0.10158552374295,165,TRUE
"166","01021017___34_1_1","01021017__",34,0,1,0,2059,TRUE,0.413132954174202,166,FALSE
"167","01021363___34_1_1","01021363__",34,0,1,0,10157,TRUE,0.121977740003794,167,FALSE
"168","01021364___34_1_1","01021364__",34,0,1,0,29617,TRUE,0.121410110694344,168,FALSE
"169","01021368___34_1_1","01021368__",34,0,1,0,9125.66666666667,TRUE,1.00094434877152,169,FALSE
"170","01070000_12_15_1","01070000",12,0,0,0,14700,TRUE,0.994735602524844,170,FALSE
"171","01081204___34_1_1","01081204__",34,0,1,1,8992,TRUE,0.121883084510554,171,FALSE
"172","011-01-2-010_22_17_1","011-01-2-010",22,0,1,1,6600,TRUE,0.526471265499976,172,FALSE
"173","011-02-1-010_22_17_1","011-02-1-010",22,0,0,0,4000,TRUE,0.344198181212596,173,FALSE
"174","0110001_23_1_1","0110001",23,0,1,1,9017,TRUE,0.114896470456506,174,FALSE
"175","0110047_23_1_1","0110047",23,0,1,1,9528.14285714286,TRUE,0.557210571888113,175,FALSE
"176","0110091_23_1_1","0110091",23,0,0,0,3700,TRUE,0.0107325901113892,176,TRUE
"177","0110181_23_1_1","0110181",23,0,1,1,9722,TRUE,0.179622043252715,177,FALSE
"178","0110310_23_1_1","0110310",23,0,0,0,858,TRUE,0.115271161118028,178,FALSE
"179","0110766_23_1_1","0110766",23,0,0,0,5675,TRUE,1.89957176175292,179,FALSE
"180","0112P_49_45_1","0112P",49,0,0,0,6054,TRUE,0.966341792491002,180,FALSE
"181","01151100___34_1_1","01151100__",34,0,1,0,13761,TRUE,1.93295181907821,181,FALSE
"182","011i_53_73_1","011i",53,0,1,1,13923,TRUE,1.35747320395312,182,FALSE
"183","012-11-2-010_22_97_1","012-11-2-010",22,0,0,0,4150,TRUE,0.490208816263496,183,FALSE
"184","012-12-2-010_22_97_1","012-12-2-010",22,0,0,0,8266.66666666667,TRUE,2.01175486838044,184,FALSE
"185","012-13-2-010_22_97_1","012-13-2-010",22,0,1,1,11250,TRUE,0.61898669454936,185,FALSE
"186","0120113_23_1_1","0120113",23,0,1,1,10729.8,TRUE,1.47325080559098,186,FALSE
"187","0120241_23_1_1","0120241",23,0,1,1,9470,TRUE,0.423059443112642,187,FALSE
"188","0120380_23_1_1","0120380",23,0,1,1,17566.75,TRUE,0.900343734198009,188,FALSE
"189","0120510_23_1_1","0120510",23,0,1,1,17954.3333333333,TRUE,0.966740490275178,189,FALSE
"190","01211145___34_1_1","01211145__",34,0,0,0,14007,TRUE,0.658731199933371,190,FALSE
"191","01221307___34_1_1","01221307__",34,0,1,0,8014.66666666667,TRUE,1.61329657268367,191,FALSE
"192","012R120055_53_77_1","012R120055",53,0,0,0,0,TRUE,0.157986196939186,192,FALSE
"193","013-0-2013-0460_8_13_1","013-0-2013-0460",8,0,1,1,23500,TRUE,1.278160647813,193,FALSE
"194","013-0-2013-0491_8_13_1","013-0-2013-0491",8,0,1,1,24000,TRUE,0.432433112363533,194,TRUE
"195","013-0-2013-0507_8_13_1","013-0-2013-0507",8,0,1,1,19975,TRUE,3.46768348624612,195,FALSE
