county,Baseline coverage,NEVI.coverage,AFC.coverage
05133,0.017626746820543663,0.009799957764853325,0.8390861360464134
05135,0.0048084956729294755,0.0048084956729294755,0.0048084956729294755
05137,0.007950212313030038,0.005806833378922294,0.8723837467346374
05139,0.00873197337384542,0.00873197337384542,0.8639923002185433
05141,0.020418384868834332,0.017580475570154144,0.8699958762206892
05143,0.024627082903786332,0.015616573092822897,0.8357252900419812
05145,0.0196600225804497,0.0196600225804497,0.8774837957860395
05147,0.029667880658396775,0.025734218378933242,0.8813294381043416
05149,0.013371233244934833,0.011029850384888355,0.8539373394726597
06001,0.9722814166088962,0.8424829581753759,0.9916408619555167
06003,0.9484419657686889,0.7187865884907402,0.9894040082132594
06005,0.9565827069102828,0.755421157423027,0.9922955057454316
06007,0.9358774702339906,0.745871488814546,0.9906239854891139
06009,0.9529332568956268,0.7746677464161178,0.9926067438881013
06011,0.9468599255161055,0.7683852581067354,0.99177005889063
06013,0.9596638903980266,0.8267390736745005,0.9935012834214114
06015,0.9030511861713322,0.5399550530332708,0.9798209563317659
06017,0.9550894488487562,0.7280078152532763,0.9921248160327627
06019,0.8895726451995962,0.7458042300308385,0.9910170664203173
06021,0.9413266445413438,0.7519339426272379,0.9915186779518564
06023,0.9116966076775824,0.5553177056382108,0.9847000784656379
06025,0.8401436061999455,0.742836560544146,0.9862083686559767
06027,0.865584385055244,0.0018164419099038376,0.9896010073921888
06029,0.8810493111831871,0.7752272258162923,0.9904647691851949
06031,0.8841883470533288,0.7721072766902654,0.9922700782939543
06033,0.9541480383178284,0.7704958145014917,0.9913604340716059
06035,0.940093531807366,0.012870286062333182,0.9880916434371008
06037,0.8773986811703733,0.7735262034065097,0.9919908989215719
06039,0.8993526562055736,0.7537857319499621,0.9921431880796734
06041,0.9678104064497208,0.835386460902993,0.9915893388576164
06043,0.9310254412184807,0.7477460700012587,0.990688929922476
06045,0.9523857489345405,0.7667116822789096,0.9913790046700914
06047,0.9397210174843812,0.8101403323239496,0.9857907070828085
06049,0.009696617432139376,0.0019567597213455408,0.979679317671438
06051,0.8825270779748706,0.7044116333252839,0.9908724072886609
06053,0.9651721647401009,0.8577449887345576,0.9921656518795963
06055,0.9568656580609505,0.8038341590571525,0.9921508735993496
06057,0.949027793209093,0.7171901318472762,0.9910037209907544
06059,0.8764672718339522,0.776161581164227,0.9921063605946286
06061,0.9392214569317952,0.7630991002043124,0.9901188591615208
06063,0.9324595195658744,0.683606859330003,0.9857593855287605
06065,0.8735376623725372,0.7744666177284165,0.991710384011489
06067,0.9501526086519138,0.7764668180790859,0.9931841394933248
06069,0.9763243734642234,0.8521772250604167,0.9934553291350735
06071,0.871703597591202,0.7712498100095155,0.9904905277082093
06073,0.8766731031154343,0.7826095673210796,0.9920559473700331
06075,0.9729440407457325,0.8399634022743885,0.9915860868897783
06077,0.9543164899489649,0.8178518732147987,0.9936746644880718
06079,0.9215250858972569,0.81292573573576,0.9921468745496588
06081,0.9725930408387747,0.848759177869211,0.9912403096808917
06083,0.8949614333997483,0.7899470238237867,0.9926193033485141
06085,0.9747569399847522,0.8504838493069515,0.9933721351443812
06087,0.9771114249452115,0.8558621873674742,0.9943164578432797
06089,0.8366141120808569,0.018056494647904976,0.9852892805436209
06091,0.9425990673055742,0.7027766816125616,0.9883108859954703
06093,0.9007454170376517,0.03016883240025075,0.9803459513261127
06095,0.9555111372801974,0.8186060150614037,0.992725639257665
06097,0.9597976485154068,0.7899436503818634,0.9915737638784256
06099,0.9512460772620838,0.8175789810441579,0.9920966064087144
06101,0.9439783845868597,0.7604606191078269,0.991874436495506
06103,0.9337462374477052,0.7058710133086953,0.9906637249415596
06105,0.8991038042072598,0.5894012477915164,0.9815956611661081
06107,0.8918820413538029,0.7482036755885633,0.9922784069518925
06109,0.9464860810354936,0.7560500495270027,0.9894074102442701
