"","GEOID","STATEFP","STATENS","AFFGEOID","STUSPS","NAME","LSAD","ALAND","AWATER","Baseline Coverage","NEVI Coverage","AFC Coverage","State Spillover","NEVI Increase"
"32","35","35","00897535","0400000US35","NM","New Mexico","00",314196306401,728776523,0.047464742156756,0.00624220743349172,0.855313344275639,0.0416402264949284,0.849071136842148
"33","36","36","01779796","0400000US36","NY","New York","00",122049149763,19246994695,0.422150575731213,0.0826418167251766,0.924438934537045,0.351621383601299,0.841797117811869
"34","37","37","01027616","0400000US37","NC","North Carolina","00",125923656064,13466071395,0.10922359027986,0.0235322218598204,0.920587658061375,0.0612361941248303,0.897055436201554
"35","38","38","01779797","0400000US38","ND","North Dakota","00",178707534813,4403267548,0.0322407460978334,0.00282495561104586,0.736794348424215,0.0288127850452449,0.733969392813169
"36","39","39","01085497","0400000US39","OH","Ohio","00",105828882568,10268850702,0.298580121166923,0.0212660693525659,0.913512474666103,0.257572792475378,0.892246405313537
"37","40","40","01102857","0400000US40","OK","Oklahoma","00",177662925723,3374587997,0.0993853565068839,0.0123933571064593,0.876372247082243,0.083180416746882,0.863978889975783
"38","41","41","01155107","0400000US41","OR","Oregon","00",248606993270,6192386935,0.722757642911317,0.0616421635040896,0.977687103940579,0.672414046268729,0.916044940436489
"39","42","42","01779798","0400000US42","PA","Pennsylvania","00",115884442321,3394589990,0.379960791942226,0.105433052240974,0.920868946565773,0.328603884311484,0.815435894324798
"40","44","44","01219835","0400000US44","RI","Rhode Island","00",2677779902,1323670487,0.481462661173537,0.165449595434035,0.938260225138501,0.473810559677764,0.772810629704466
"41","45","45","01779799","0400000US45","SC","South Carolina","00",77864918488,5075218778,0.126456009413576,0.0232954040083093,0.918950436539566,0.10949796992255,0.895655032531257
"42","46","46","01785534","0400000US46","SD","South Dakota","00",196346981786,3382720225,0.00767819597100955,0.00266656663974329,0.79581897550568,0.00568675827205525,0.793152408865937
"43","47","47","01325873","0400000US47","TN","Tennessee","00",106802728188,2350123465,0.0856537785288102,0.0126251948840631,0.907585093349072,0.066264094649664,0.894959898465008
"44","48","48","01779801","0400000US48","TX","Texas","00",676653171537,19006305260,0.0853345960473428,0.0319962464341908,0.83511309079916,0.0134402915489662,0.80311684436497
"45","49","49","01455989","0400000US49","UT","Utah","00",212886221680,6998824394,0.118493911346542,0.0247035623663891,0.929506335966627,0.0902031896922675,0.904802773600239
"46","50","50","01779802","0400000US50","VT","Vermont","00",23874175944,1030416650,0.47896005105606,0.0162081879621619,0.933989590235222,0.475748862927598,0.91778140227306
"47","51","51","01779803","0400000US51","VA","Virginia","00",102257717110,8528531774,0.362295187551418,0.0444785353261397,0.921573946735785,0.319928491335649,0.877095411409646
"48","53","53","01779804","0400000US53","WA","Washington","00",172112588220,12559278850,0.719511579832926,0.113031452272491,0.964121574682782,0.621068765529598,0.851090122410291
"49","54","54","01779805","0400000US54","WV","West Virginia","00",62266474513,489028543,0.232525294554313,0.0177292319326613,0.917093814508435,0.227703134134241,0.899364582575774
"50","55","55","01779806","0400000US55","WI","Wisconsin","00",140290039723,29344951758,0.0638646797063539,0.0253178788942232,0.905943519011183,0.0461115718313276,0.880625640116959
"51","56","56","01779807","0400000US56","WY","Wyoming","00",251458544898,1867670745,0.0340923644439938,0.00943409750817664,0.901462808434396,0.0324446445369131,0.89202871092622
"52","72","72","01779808","0400000US72","PR","Puerto Rico","00",8868896030,4922382562,0.888471194150282,0.888471194150282,0.888471194150282,0,0
