"","GEOID","STATEFP","STATENS","AFFGEOID","STUSPS","NAME","LSAD","ALAND","AWATER","Baseline Coverage","NEVI Coverage","AFC Coverage","State Spillover","NEVI Increase"
"14","17","17","01779784","0400000US17","IL","Illinois","00",143780567633,6214824948,0.0666910845632691,0.0665337595123144,0.873791384565599,0.0207783069781031,0.807257625053285
"15","18","18","00448508","0400000US18","IN","Indiana","00",92789302676,1538002829,0.038780521665102,0.0382169692698967,0.888986425450985,0.0122464126983855,0.850769456181088
"16","19","19","01779785","0400000US19","IA","Iowa","00",144661267977,1084180812,0.0212297711532243,0.0211934556469003,0.845615594058127,0.00422217193133511,0.824422138411227
"17","20","20","00481813","0400000US20","KS","Kansas","00",211755344060,1344141205,0.0253258163165652,0.0252703391703564,0.806217062716471,0.0119942781412262,0.780946723546115
"18","21","21","01779786","0400000US21","KY","Kentucky","00",102279490672,2375337755,0.0229143410866566,0.0229143410866566,0.890016569313898,0.00748200365017553,0.867102228227241
"19","22","22","01629543","0400000US22","LA","Louisiana","00",111897594374,23753621895,0.0406524897461905,0.0399713569960599,0.85511774356599,0.00498332039803192,0.81514638656993
"20","23","23","01779787","0400000US23","ME","Maine","00",79887426037,11746549764,0.0372765453097463,0.0372255532754638,0.971041971056684,0.0110940470691869,0.93381641778122
"21","24","24","01714934","0400000US24","MD","Maryland","00",25151100280,6979966958,0.084921766695199,0.0832756052368565,0.938755521885808,0.0343853083680701,0.855479916648952
"22","25","25","00606926","0400000US25","MA","Massachusetts","00",20205125364,7129925486,0.0963059260417672,0.0962810043564951,0.964067434084558,0.036443281224624,0.867786429728063
"23","26","26","01779789","0400000US26","MI","Michigan","00",146600952990,103885855702,0.0371732265606669,0.0365390752622795,0.901296913717159,0.0058899706350127,0.864757838454879
"24","27","27","00662849","0400000US27","MN","Minnesota","00",206228939448,18945217189,0.0380788467955689,0.0375648112275623,0.815008538527309,0.00674479955533262,0.777443727299746
"25","28","28","01779790","0400000US28","MS","Mississippi","00",121533519481,3926919758,0.0208359765937283,0.0208359765937283,0.868930730233453,0.00863897277636874,0.848094753639725
"26","29","29","01779791","0400000US29","MO","Missouri","00",178050802184,2489425460,0.0290195257557536,0.0289705910557858,0.848495985611929,0.00850192848249984,0.819525394556144
"27","30","30","00767982","0400000US30","MT","Montana","00",376962738765,3869208832,0.0167600274644456,0.0165418025272999,0.881766644115298,0.00119190666511978,0.865224841587999
"28","31","31","01779792","0400000US31","NE","Nebraska","00",198956658395,1371829134,0.0252383152534741,0.0252356930222302,0.796806808717262,0.0083645500725861,0.771571115695033
"29","32","32","01779793","0400000US32","NV","Nevada","00",284329506470,2047206072,0.0410016362470144,0.040988356973271,0.965541054831685,0.009895398814423,0.924552697858414
"30","33","33","01779794","0400000US33","NH","New Hampshire","00",23189413166,1026675248,0.0784642788329453,0.0779625298971519,0.966243100943392,0.063583779852974,0.88828057104624
"31","34","34","01779795","0400000US34","NJ","New Jersey","00",19047825980,3544860246,0.149288267974292,0.142807052194302,0.94546470027496,0.0977876510943255,0.802657648080658
"32","35","35","00897535","0400000US35","NM","New Mexico","00",314196306401,728776523,0.0445252889968466,0.0445252889968466,0.837003857024961,0.00357211291372025,0.792478568028115
"33","36","36","01779796","0400000US36","NY","New York","00",122049149763,19246994695,0.0908159364160676,0.0893312548524615,0.938428365113734,0.0446511014617628,0.849097110261273
"34","37","37","01027616","0400000US37","NC","North Carolina","00",125923656064,13466071395,0.0294568927420805,0.0287867605913724,0.928326116908611,0.0057008266489995,0.899539356317239
"35","38","38","01779797","0400000US38","ND","North Dakota","00",178707534813,4403267548,0.0252186112913196,0.0242455909342689,0.600331115499377,0.00564301990029015,0.576085524565109
"36","39","39","01085497","0400000US39","OH","Ohio","00",105828882568,10268850702,0.0387008444101418,0.0386563885082691,0.913236104304204,0.00671743482891514,0.874579715795936
"37","40","40","01102857","0400000US40","OK","Oklahoma","00",177662925723,3374587997,0.0291694156886223,0.0291418409952812,0.824681342096297,0.00290294677817708,0.795539501101015
"38","41","41","01155107","0400000US41","OR","Oregon","00",248606993270,6192386935,0.135015855741137,0.134894366481056,0.959875452268241,0.0288237917513454,0.824981085787184
"39","42","42","01779798","0400000US42","PA","Pennsylvania","00",115884442321,3394589990,0.0952154218376357,0.0899011173417279,0.940859491337905,0.0528490045403836,0.850958373996177
"40","44","44","01219835","0400000US44","RI","Rhode Island","00",2677779902,1323670487,0.0812794860174046,0.0812794860174046,0.960688144379795,0.0727754669375132,0.879408658362391
"41","45","45","01779799","0400000US45","SC","South Carolina","00",77864918488,5075218778,0.0293527634404813,0.0285665528243929,0.921354673756232,0.0102725740205322,0.89278812093184
"42","46","46","01785534","0400000US46","SD","South Dakota","00",196346981786,3382720225,0.0128425927553731,0.0128425927553731,0.714918889266615,0.00302825344866346,0.702076296511241
"43","47","47","01325873","0400000US47","TN","Tennessee","00",106802728188,2350123465,0.0303231361066557,0.0301387597048217,0.895395996540469,0.0083413110275826,0.865257236835647
"44","48","48","01779801","0400000US48","TX","Texas","00",676653171537,19006305260,0.0746923267018261,0.0744865073369146,0.795474522222703,0.00210965635246258,0.720988014885788
"45","49","49","01455989","0400000US49","UT","Utah","00",212886221680,6998824394,0.160349163977797,0.159919892539117,0.914783586958187,0.00694230608641222,0.754863694419069
"46","50","50","01779802","0400000US50","VT","Vermont","00",23874175944,1030416650,0.0195820453884315,0.0190763506845071,0.960760470185062,0.0134238072086159,0.941684119500555
"47","51","51","01779803","0400000US51","VA","Virginia","00",102257717110,8528531774,0.0408017468247384,0.0398176366001954,0.93486009503695,0.0187103629955735,0.895042458436755
"48","53","53","01779804","0400000US53","WA","Washington","00",172112588220,12559278850,0.192708309646508,0.183527927117663,0.944955763492199,0.0146179086078546,0.761427836374536
"49","54","54","01779805","0400000US54","WV","West Virginia","00",62266474513,489028543,0.0231920350770551,0.0231822584172873,0.929459046780172,0.0150194431325752,0.906276788362885
"50","55","55","01779806","0400000US55","WI","Wisconsin","00",140290039723,29344951758,0.0444243013647554,0.0411217014713362,0.86902838181134,0.0154496351978658,0.827906680340003
"51","56","56","01779807","0400000US56","WY","Wyoming","00",251458544898,1867670745,0.0340923717345554,0.03263298294307,0.809084486765209,0.0209324929942838,0.776451503822139
"52","72","72","01779808","0400000US72","PR","Puerto Rico","00",8868896030,4922382562,0.990388428739105,0.990388428739105,0.990388428739105,0,0
